id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4502097691134693,J0Szn4Lbv,7381985193,书写旅程,公益最大受益者是自己，善良与报恩是最大的自信。Mrmayun不愧为是当代伟大的企业家，格局胸怀决定一个人的发展前景～,,,,,0,0,0,2020-05-07 23:59,HUAWEI nova 2,['https://wx3.sinaimg.cn/large/0083A3zjgy1gekbw0wasuj304s03ca9y.jpg'],,
4502097641360330,J0Szi5HSO,6122028952,我是刘嘉媛,历经2个小时的课程+头脑风暴，收获多多，非常感谢🙏我们的培训导师陈莉老师@陈莉-企业教练给我们黑马战队带来的加餐课《重塑团队心智模式》从思维模式—判断模式—行动模式做出了改变，以前我是一个很没自信的人，不相信自己能邀约到别人听课，但是听到今天陈莉老师的分享成功3步法，我会从思维上面做出改变，才会在结果上面获得成功。#青创萌芽黑马战队#@张萌_萌姐@安蓉Nicky#vlog#L刘慧芳宝妈创业记的微博视频,,嵊州,"陈莉-企业教练,张萌_萌姐,安蓉Nicky","青创萌芽黑马战队,vlog",1,7,2,2020-05-07 23:59,萌姐青创客iPhone 8 Plus,,"http://f.video.weibocdn.com/002q1OMygx07D5HYEbxm01041200bsqr0E010.mp4?label=mp4_720p&template=544x816.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1693021420&ssig=ZkBkX4jsP1&KID=unistore,video",
4502097552235156,J0Sz99nsU,1904858111,小唐僧liltownson,恒大这家企业快倒闭吧，可别祸祸人了,,,,,1,4,4,2020-05-07 23:59,HUAWEI P30,['https://wx2.sinaimg.cn/large/7189d3ffly1gekbvcjkgcj22tc240hdu.jpg'],,
4502097540492610,J0Sz8249k,3480449044,科技C数码,想要远程办公吗？群晖服务器太贵，一台路由器+硬盘帮你搞定私有云。我们只需要一台路由器，蒲公英路由器采用的是自主组网技术，能将异地局域网通过蒲公英路由器快速组建成一个虚拟局域网，可以替代传统专网网络。对企业和个人来说，这都算是一种全新的异地互联技术，以简单的方式实现设备之间轻松互联互通。O群晖服务器太贵，一台路由器+硬盘帮你搞定私有云,,,,,0,0,1,2020-05-07 23:59,微博 weibo.com,,,
4502097464548088,J0Sz0j5ag,5128869940,领途印象企业游学,【#特斯拉回应停工传闻#属正常调整】据财联社报道，针对近日特斯拉上海工厂停工的传闻，特斯拉中国官方表示此次停工属于正常的调整。据特斯拉中国回应，特斯拉上海工厂在正常的生产安排调整中，正在通过此次假期时间对生产线进行调试与维护，各环节工作都在按计划进行。#助力企业赴美商务考察游学#,,,,"特斯拉回应停工传闻,助力企业赴美商务考察游学",0,0,0,2020-05-07 23:59,微博 weibo.com,['https://wx4.sinaimg.cn/large/005B6dmIly1gekb00p6hmj30go08owep.jpg'],,
4502097464181481,J0Sz0hxNf,3160981342,米易公安,@米易公安普威派出所在#奋进2号——闪电#集中清查统一行动中，对网吧、旅馆、企业单位、道路交通等进行全面安全检查，确保辖区社区治安稳定。#奋进2号##平安在你身边#,,,米易公安,"奋进2号——闪电,奋进2号,平安在你身边",1,1,0,2020-05-07 23:59,微博 weibo.com,"['https://wx1.sinaimg.cn/large/bc68bf5egy1gekbqu7b3ej21t50u00x4.jpg', 'https://wx2.sinaimg.cn/large/bc68bf5egy1gekbqu0487j21t50u0td2.jpg', 'https://wx1.sinaimg.cn/large/bc68bf5egy1gekbqw56dhj21400u0u0x.jpg', 'https://wx2.sinaimg.cn/large/bc68bf5egy1gekbqus1avj21400u0qv6.jpg', 'https://wx2.sinaimg.cn/large/bc68bf5egy1gekbqvawv5j21400u04qr.jpg', 'https://wx2.sinaimg.cn/large/bc68bf5egy1gekbqyn1hvj21400u0kjm.jpg']",,
4502097443994714,J0SyYgLcS,6124409844,兰亭的东坡肉,别以为你白就可以不努力Day18【人民日报阅读卡】10篇文章【外卖】【制度化，法律化】要求外卖企业对从业人员及车辆实施备案管理，建立统一编码管理制度。2019年广州交警与某外卖平台携手，试点外卖骑手“一人一箱一码”的统一编码管理模式，通过电子眼抓拍的方式，记录外卖骑手和送餐车辆交通违法行为，交警定期抄告至企业，企业会根据违法行为的性质，违章一次的骑手会被处以停驶一天，限制接单；出现三次违章的骑手会被平台拉黑。,,,,,0,0,1,2020-05-07 23:58,别以为你白就可以不努力超话,['https://wx4.sinaimg.cn/large/006GtoLWgy1gekbuzytxxj30u019oh3b.jpg'],,
4501735224199247,J0J8KhCpN,6501780549,岁月神偷xibei2003,昨夜七八级大风，葡萄受损，早晨风速降低，中午1时飘有雨花，直至3时大风缓，可见一抹蓝天，晚上狂风又起。今天，牵头制定本地年度综合考核办法，科学设计考核方案，目的就是要打破干好干坏差不多、绩效吃大锅饭的现状。今天，积极筹办的食堂也终于开业供餐了，很是高兴。晚上，见了落地但久未见产的某企业负责人，希望项目早日达产。,,,,,0,0,1,2020-05-06 23:59,vivo X27,,,
4501735169898387,J0J8EFx1p,6211141835,雄安发布,【靓！雄县路域环境换新颜！】雄县交通运输局按照《雄县重要公路路域绿化实施方案》要求，打造“畅安舒美”的公路通行环境。高标准建设国省干道和县乡道路绿化带31.87公里，建设9个绿化节点，全力打造精品线路。在县政府的指导下各乡镇积极配合，主动自建，同时雄县交通运输局加大宣传力度，积极引导企业助建。截至5月4日，雄县立新路与S042交口、昝白路白沟站、昝白路荣乌高速、过渡路主线、过渡路马召村临河、过渡路古州桥、过渡路赵王新河、立新路付家营节点、立新路大牌楼北门户节点等9个节点已全部完工。（雄州之声）,,,,,1,0,1,2020-05-06 23:59,360安全浏览器,"['https://wx1.sinaimg.cn/large/006MljJ1ly1gej68vaes9j30qy0k8q8h.jpg', 'https://wx3.sinaimg.cn/large/006MljJ1ly1gej68v90esj30u00k9wj8.jpg', 'https://wx4.sinaimg.cn/large/006MljJ1ly1gej68v9tqxj30u00mgaen.jpg', 'https://wx4.sinaimg.cn/large/006MljJ1ly1gej68vb1rhj30u00jzdn5.jpg']",,
4501735156291509,J0J8DqoHX,2417560735,交通954,【国务院：#小微企业个体工商户可缓缴所得税#】国务院常务会议今日召开。会议要求，根据形势变化和企业诉求，及时推出和完善相关政策。一是针对目前疫情尚未过去，允许小微企业和个体工商户延缓缴纳所得税，延长支持疫情防控保供相关税费政策实施期限。对纳税人提供公共交通运输服务、生活服务及为居民提供必需生活物资快递收派服务收入，延长免征增值税时间。二是在年初已发行地方政府专项债1.29万亿元基础上，再提前下达1万亿元专项债新增限额，力争5月底发行完毕。三是对保持就业岗位基本稳定的企业尤其是中小微企业，延长延期还本付息政策，并创设政策工具支持银行更多发放信用贷款。（央视）,,,,小微企业个体工商户可缓缴所得税,1,0,0,2020-05-06 23:59,iPhone客户端,,,
4501735102487252,J0J8yar2Y,6510002072,面朝湖边的小木屋,#美国疫情下普通人的生活#无力吐槽了，疫情刚刚得到控制，快能解禁了，附近的大型公立医院都在纷纷裁人会是停薪留职，包括密大附属医院也不例外，动辄上千人的规模，新闻整体都有。这波卸磨杀驴的举动让我好失望，难道这个国家是这么对待英雄的嘛。联邦政府救中小企业民航等受打击最厉害的，也请救助一下医疗机构。,,,,美国疫情下普通人的生活,0,0,0,2020-05-06 23:59,iPhone客户端,,,
