id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4881155411151166,My3dP4Ptc,5919126856,沧海一粟j1003,好快啊，一年了，我来的时候没有疫情，走的时候也没有疫情，所有的心酸，身心苦累都留在这里了。疫情期间我一直在任劳任怨的工作，直到感染被隔离……疫情结束了，我却失业了。,,,,,0,0,0,2023-03-20 00:00,HarmonyOS设备,['https://wx3.sinaimg.cn/large/006sA3i0ly1hc5lxxn6tbj30u00d90wg.jpg'],,
4881155297903392,My3dDxa24,7386727602,磨洋工非遗技艺传承大师,失业倒计时，ticktockticktockticktock,,,,,0,0,0,2023-03-19 23:59,iPhone,['https://wx3.sinaimg.cn/large/0083TXhMly1hc5lzit4ijj30r91a67bh.jpg'],,
4881154518291436,My3cnyMYQ,3650176824,今晚对月亮许愿,#水瓶座到底在焦虑什么#是我本人天天焦虑停水停电都能想到是不是马上要全世界末日再也不会来水来电了微博推什么我就焦虑什么仿佛明天就失业就下岗世界经济就崩盘金融危机就来袭口头禅是和我妈说你看这个世界说不定哪天就玩完了所以我不能生孩子,,,,水瓶座到底在焦虑什么,0,0,4,2023-03-19 23:56,有点可爱的iPhone 13 mini,,,
4881154430208269,My3cf0Sbb,1449761922,neonIight,有些人是不是以为失业以后大不了送外卖啊，深圳美团骑手过剩了，配送费3元起，你看，新时代来了，体面的干电池消失了，连不体面的都没了,,,,,3,7,8,2023-03-19 23:56,iPhone 14 Pro Max,,,
4881154387482405,My3cavovX,5466440075,泡泡扫文记录,别说我们认识by周演/白糖清粥tag：熟男熟女久别重逢（豆瓣阅读已完结）男主是女主前男友很崇拜的学长，女主会认识男主也是因为前男友，男主在见到女主的第一眼就一见钟情了但是当时女主是自己学弟的女朋友，所以男主只能默默把这份喜欢藏在心里开篇就是女主经历失业和失恋后回到小镇工作，各种压力加在一起导致女主有了轻生的念头，而男主是因为好友自杀心理阴影很大所以休学来到小镇，两人在小镇重逢成了邻居，男主救下了准备自沙的女主，第二天女主去上班发现男主居然是自己的新同事男主知道女主有轻生的念头后就总是各种拉着女主说话，邀请女主一起做饭搭子各种找话题和女主聊天开导女主，接着男女主由饭搭子发展成了泡有，两人都知道对方不会在小镇待很久，后面女主找到了新工作要离开小镇，在离开之前和男主玩了一次真心话大冒险，互相坦白了彼此的心意最后女主因为一些事情还是留在了小镇，男主成功抓住机会泡有转正作者在po的笔名是白糖清粥，写的🍗文很好看！O网页链接#我在微博读好书##不负好故事#,,,,"我在微博读好书,不负好故事",38,18,248,2023-03-19 23:55,推文超话,['https://wx4.sinaimg.cn/large/005XWCMjgy1hc5lweiq9ej30u01geq81.jpg'],,
4881153377700044,My3axwj8g,7811413288,七剑下昆仑山之01号,这泡沫比当时的日本还大，日本当时已经成为发达国家，你现在发达了？日本房价崩盘两年后收入泡沫才破，才真正的绝望，看看中国现在，没趁早刺破泡沫，直接就失业爆发，收入腰斩，五雷轰顶，傻货，瞬间变成吃饭问题了，瞬间回到多少年前了，直接变成馒头问题了，你还谈房子的金融性？咱们现在就谈吃饭问题，再的都是屁话。,,,,,0,0,10,2023-03-19 23:51,iPhone客户端,,,
4881153171392489,My3ad5Qfv,5721172200,一个人走的心路,给我的感受是，以前公司有段时间很少招人，90-95年的基本没有（本部门能看见的），后来裁员很多后，人更少了，这两年招了一些95后，都是985。现在平均年龄下降了不少，平均薪酬下降，估计后面基本也不会招人了，不仅仅是招人，连年终奖也没有了。今年估计很多大厂都不怎么招人了。产能转移是长期现象，美元紧缩是短期现象，对中国影响大的是产能转移，劳动密集型企业转移到东南亚等影响的是农民工的就业，大企业转移影响的是一线城市的白领，现在是产能转移叠加欧美需求下滑，说外贸影响首先是就业，然后才是金融，出口数据下滑看似不严重，只是数据被扭曲，你增大资源出口（像稀土等），但是，制成品出口减少是非常可怕的，大量的失业已经爆发，未来几个月会全面传递，产能转移了，就是永久失业，这个才是最可怕的，美元紧缩完一样出口无法恢复，这个谁也没办法，外资走了，再不回来了，以后就是常态。,,,,,0,1,0,2023-03-19 23:51,iPhone客户端,,,
4880792608834450,MxTMEB4f8,2693137283,猛吸一口茉香奶绿,很难说，我也不清楚自己现在在想什么……回顾了过去几年的微博内容，快乐在2019年火星演唱会之后就消失了✘，疫情+失业+保工作+恋爱脑，每件事都在拼尽全力积攒对人世间的失望。不再学习新知识，不再自信的表达，不再勇敢的向前，甚至连今年去杭州看花花🌸，都是犹豫半天，在别人的鼓励下下手的。这在以前，从来不会……为什么开始犹豫了？生活？经济？人际关系的疏离？真的好难……每天都需要一首《好想我回来啊》来拯救失去活力的自己我总觉得，花花🌸的歌像一本叙事诗写尽了人间百态让人止不住的共鸣第一次听，落泪感叹“原来有人是懂我的”第二次听，要不……还是好好活下去吧“我想为自己，看看这个世界，好好走下去”华晨宇谢谢啦~,,,,,0,0,0,2023-03-18 23:58,华晨宇超话,,,
4880792042603279,MxTLKaVen,1057534323,修成才,今天逛荡，去了我们四线城市的最大最高端商场，别说，人流很大，逛街的很多，几个网红特色的烘焙、奶茶店还能排大队等着下一锅，有网友说是“雇人排队”，反正状态是出来了。仔细观察，逛街的主力是年轻大学生，从实际购物量看真的不多，但餐饮消费确实是主力。一座城市，如果没有大学，或大学的数量太少，那这个城市的商业消费活力一定是不够的。当前，中国的就业压力非常大，除了应届毕业生外，往届毕业生、同龄初入社会的年轻人、中年离职群体、年轻农民工、创业失败者、小商贩转行人员等等，太多人没有工作和稳定收入了。如何解决就业？就是靠民营经济繁荣。为民营经济不繁荣？因为管制太多，支持太少，扶持没有，禁止经营（变相禁止）。即使是繁花地段的街边商铺，依然有大量空置。非要把实体商业没落归罪于电商？那不应该有失业压力，因为电商的门槛更低，更容易普及。归根结底，还是地方政府管理的问题。中央现在很重视民营经济，《新闻联播》天天报道浙江样本。但地方好像不买账，公务员们都没有激情激励，因为反腐败、翻旧账还在继续，公务员们的历史都清白，人人自危，害怕哪天翻到自己身上，都无心工作，更何况不是给领导工作，而是给以前总欺负的民营经济工作呢。无利不起早的，公务员们更懂，更有经验和体验。,,吉林市,,,0,0,0,2023-03-18 23:56,华为畅享 50,"['https://wx3.sinaimg.cn/large/3f08b173ly1hc4gc29fi4j20it0agaax.jpg', 'https://wx3.sinaimg.cn/large/3f08b173ly1hc4gc2jtrkj20qo0qp0yk.jpg']",,
4880791466676838,MxTKOs0WW,7156992738,守护伯姨爱情,真搞笑想追两天已婚男啥物料都没有还是个失业已婚男签了新公司么不是咋不出来溜溜机场也不走全靠他和前妻那点儿过期药没劲没劲,,,,,0,0,0,2023-03-18 23:53,iPhone客户端,,,
