编号,id,微博正文,发布时间,情绪
1,4382137371655455,为什么会有人喜欢看你笑话，见不得你的好。这样的情绪，我实在难以理解，数下来，都有三四五个这样的同事盆友😨😨😨等着听到我说加班到半夜失恋到窒息失业到天荒箍牙到地老吃肥到爆称你们期待听到的话，原谅我不可能说出口，因为我是真正的快乐,2019-06-11 23:20:00,"(happiness,0.8),(frustration,0.2),(sadness,0.1),(confusion,0.1)"
2,4448338717633165,【蘋果即時】【為保業績】傳無綫月底裁員逾千人製作部將成重災區反修例運動持續半年，因為被網民批評無綫報道偏頗，呼籲抵制該台，不收看、不登廣告，結果令無綫廣告收入與收視率不斷下跌，為保住下季度業績，無綫準備向員工派大信封，裁減800至1000名員工，據說重災區是製作部和綜藝組，其他部門亦會按比例裁減人手，預計月底派大信封。有製作部人員向《蘋果》透露，無綫因收益下跌，打算縮減開支，決定不再以傳統方法經營下去，以往無綫製作部養了不少人員，這是一筆龐大開支，但近期製作不多，所以管理層決定大量裁減製作部和綜藝組製作人員，然後支持他們在外成立製作公司，日後無綫開劇或搞綜藝節目，將外判給這些公司做製作，其實無綫已有部份劇集交由外判公司做製作，變相養一批已離職的員工，今次真正失業的員工估計約400人左右。無綫截至6月底止中期業績，純利雖然上升6%，但收入按年減少12%，由22.31億元縮至19.65億元。因修例風波引起的反紅媒事件，並未反映在上半年業績，下半年廣告收入肯定受到影響。在網民的狙擊下，各大品牌紛紛暫停在無綫登廣告，當中包括寶礦力、PizzaHut、先施百貨、活色生香安全套、李健駕駛學院、化妝品公司CLARINS、雪花秀、信諾保險及攜程旅遊網（Trip.com）等，而護理品牌彩豐行日前亦表示於本月底合約屆滿後，選擇以其他平台作宣傳渠道，無綫下半年受抵制後，廣告收入下跌幅度多少，下季業績會公佈出來。無綫最近向廣告商發出新一份廣告價目表，但有別於過往每年加價3%至5%，往年黃金時段30秒廣告的「定位基本價目」索價22.6萬元，最高達184萬元，不過在聖誕檔期大概只需十幾萬便有交易，比去年聖誕同期的20萬中位水平，足足平近四成，甚至早前有報道指，無綫向舊客戶提供優惠，過往客戶至少承諾投放與去年廣告費100%或以上才獲最優惠的廣告套餐，現時承諾水平降至90%即可，是沙士以來首度跌穿100%。若未能完成90%投放水平，可提供額外10%下調空間，降至今年廣告費的81%亦可接受。以最多優惠的套餐計，計算所有折扣後，TVB明年變相減價4%至7.4%。TVB#TVB#,2019-12-11 15:40:00,
3,4448358397370515,#山西资讯##便民提示#【便民好消息！山西省将推行就业创业证与电子社保卡的“证卡合一”】近日，从山西省人社厅传来消息，山西省将推行就业创业证和电子社保卡的“证卡合一”，在电子社保卡中内嵌就业创业信息，替代纸质就业创业证。今后，无论走到全省各地，劳动者的就业、失业和享受公共就业服务、就业政策扶持等情况，均可通过手机或电脑随时登录、查验，更加方便快捷。,2019-12-11 16:59:00,"(joy,0.6),(excitement,0.3),(convenience,0.1)"
4,4385765830008193,#明日往事#【法国六月起义爆发】1848年2月革命，巴黎人民推翻了“七月王朝”，但资产阶级窃取了革命果实，成立了法兰西第二共和国。临时政府设立“国家工厂”，收容失业工人，驱使他们从事铺路、挖土等劳动，而只付给低微工资，向工人宣扬这就是社会主义，还借口供养“国家工厂”的工人而向农民增税，挑拨农民同工人的关系。同时，临时政府在流氓无产者中间组织别动队，用以对付巴黎工人。等到这些阴谋策划就绪后，临时政府悍然下令解散“国家工厂”。1848年6月22日，愤怒的“国家工厂”工人游行示威，六月起义爆发。23日起，激烈的巷战持续了4天。最后，6倍于起义工人的政府军队和别动队镇压了这次起义,2019-06-21 23:38:00,"(anger,0.7),(frustration,0.3),(disappointment,0.2),(sadness,0.1)"
5,4448265938692943,发布了头条文章：《南昌失业金可以领取几次？》O南昌失业金可以领取几次？,2019-12-11 10:51:00,"(curiosity,0.3),(excitement,0.2),(satisfaction,0.1)"
6,4385759555208704,愿望：垃圾同行明天就失业❤️垃圾pr明天就被辞退❤️,2019-06-21 23:13:00,"(anger,0.8),(frustration,0.2),(sadness,0.1)"
7,4383592450696296,真的是想要的太多吗？不会做人？………心💔好难过……明明是好心，关心，为何理解方式不同了……好压抑……许多的心里事儿想找个最亲近的人吐……这个你认为的亲人并不理解你……谁也不了解谁，谁也不理解谁……我是真的有这么糟糕吗…………趁着失业期或许真的该好好反省了…………世界上没有任何一个人有义务去迁就你……羡慕那种可以找妈妈，爸爸倾诉的……我…………『趁着没人，静静的哭一会儿😭😭😭』,2019-06-15 23:42:00,"(hurt,0.7),(frustration,0.3),(sadness,0.3),(confusion,0.2)"
8,4385403434236325,#失业#找工作难难于上青天,2019-06-20 23:38:00,"(stressed,0.8),(frustrated,0.4),(anxious,0.2)"
9,4384670479763697,#少年派##林大为失业#林大为失业后太颓废了，睡了一天连妙妙都看不下去了，大为哥快点振作起来吧你可是妙妙的榜样啊！L超清视频控的微博视频,2019-06-18 23:06:00,"(anger,0.4),(disappointment,0.3),(frustration,0.2),(sarcastic,0.1)"
10,4381419818528057,6月份，好多事情都尘埃落定了。现在就剩下买房子放款的事情。学校的事情也只等着注册而已～真好。接下来要考虑自己的作品集打磨。前几天猛然一觉悟，要是突然被失业，我可能还真是不能立马找到工作呢！所以要随时做好万全的准备，来面对未来的变化。,2019-06-09 23:49:00,"(relief,0.3),(optimism,0.2),(worry,0.1)"
