编号,id,微博正文,发布时间,情绪
1,4353145163075125,宿舍楼好明亮啊(✪▽✪)心情也亮堂堂对于开题，对于毕业，对于就业，我都是可以搞定的,2019-03-23 23:15:00,"(confidence,0.4),(positivity,0.3),(determination,0.2),(optimism,0.1)"
2,4353873328487110,【所有人注意！社保大变化：“五险”变“四险”？待遇“不下降”】国家医保局相关负责人今天表示，2019年底前我国将实现生育保险基金并入职工基本医疗保险基金，统一征缴。简单的说，就是我们通常所说的“五险”将变为“四险”。国家医保局相关负责人表示，两项保险合并实施，一是确保待遇不变，不下降，二是确保制度可持续，职工享受的生育保险待遇丝毫不会影响。国家医疗保障局介绍，中国通过推进生育保险，推动解决了就业歧视问题，均衡了不同企业的社会负担。从两项保险合并实施的进程来看，它不仅没有增加小微企业参加生育保险的难度，相反更简化了参保，提升了管理服务能力。L央视财经的酷燃视频,2019-03-25 23:29:00,"(urgency,0.4),(caution,0.3),(optimism,0.2),(trust,0.1)"
3,4355326138713664,1730天早上上班打卡的时候突然发现显示屏上除了有我帅气的脸庞外，还多了一个小皇冠，我才发现：哦，在dji已经整整两年了。如果用一句话描述这两年，我会说是成长最快的两年，无论是技术上还是心态上，那个初出茅庐的少年懂得了去从整体上看待问题，去照顾别人的感受，去和团队一起完成一个产品项目的模块，去学会独当一面…295一代这两年一块共事的小伙伴大多是95年左右出生的，我一直认为95年左右出生的孩子是具有时代意义的一代人，无论是在他们的学生时代还是就业过程中，他们总是背负着一份不属于自己的梦想，去帮助别人还愿。和一俊有次深夜讨论过：我们这代人的特点是什么？最后我们得出了一个结论：固执。我们不服输，更不怕输。我们可以在凌晨一点的高新园马路上因为解决了项目问题而大声欢呼。我们会比拼谁更加努力的学习新的知识。我们在这个创新的乌托邦中，有了自己的一方天地。这，才是真正的95一代。3“追求卓越，需要无数苦思冥想的深夜，需要连续工作48小时的执着，更需要敢于大声说出真相的勇气”。我能想象到老板他在创立DJI之初所付出的努力，而如今，他依旧饱含着对技术的敬畏之心，这可能是为什么DJI从不平庸的答案了。晚安2019/3/29,2019-03-29 23:42:00,"(passion,0.4),(growth,0.3),(teamwork,0.2),(determination,0.1)"
4,4354242925623098,蔡昉：为什么将就业优先政策置于宏观政策层面点击可查看更多O网页链接,2019-03-26 23:57:00,"(anger,0.4),(frustration,0.3),(curiosity,0.2)"
5,4357136001325350,"#晚安,华澳#正确地把握目前就业市场的需求形势国家,各省市有关大学生就业的制度和政策,按照社会需求确立就业期待和就业心理,树立正确的择就业观念和就业取向,了解大学生就业程序,把握一定的就业技巧,争取顺利就业.",2019-04-03 23:33:00,"(determination,0.5),(carefulness,0.3),(ambition,0.2),(knowledge,0.2)"
6,4354595079867357,海明威说过：如果你足够幸运，年轻时候在巴黎居住过，那么此后无论你到哪里，巴黎都将一直跟着你。年轻人在大城市是幸运的，就业机会多，法制健全，相对公平。年轻时候居住的地方，影响着你的一生。大都市相比较于18线老家，对人的影响实在太深远了。L王启日的秒拍视频,2019-03-27 23:17:00,"(happiness,0.6),(glad,0.3),(welcome,0.1)"
7,4354961670575889,就业太难了吧。,2019-03-28 23:33:00,"(frustration,0.8),(disappointment,0.2)"
8,4354243085029043,蔡昉：为什么将就业优先政策置于宏观政策层面点击可查看更多O网页链接,2019-03-26 23:58:00,"(curiosity,0.3),(frustration,0.2)"
9,4355680837866794,#思协晚安#“如果没能力把眼前的苟且过好，就暂时不要去想诗和远方。”@昌大科院微博协会@昌大科院电子计算机协会@昌大科院就业创业协会,2019-03-30 23:11:00,"(satisfaction,0.3),(determination,0.2),(curiosity,0.1)"
10,4353508579072630,如果大的经济环境下行，那么大基建一定要很重视，这个东西是稳定就业，拉gdp的一个好方法,2019-03-24 23:19:00,"(importance,0.8),(stability,0.2),(economicgrowth,0.1)"
