id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4874627421307274,MvjoO5u54,1820425785,mira_cheerslife,终于得空来记录下拜访客户的小收获啦～今天上午有幸再一次经历职场生涯的惊喜时刻，与公司领导一起，和科技园区两位总经理喝茶聊天。我们四个人第一次见面，也是上一次见面，还是去年夏天。当时我不会喝酒（现在也不太会），领导还帮我喝掉了一半酒。时隔半年，我们从酒桌移到了茶桌，领导再次教我如何正确得体地泡茶。非常幸运，在领导的帮助下，两位总经理也即将从茶室移步会议室。前辈们是复旦大学的老校友了，在上海也工作了很多年。听前辈们聊天时，会常谈当下的政治形势和经济形势，从两会政策到民企、国企的发展趋势，从商届大佬的生活到老百姓的日常，再到95后新需求如何满足，甚至还会聊到当下热门的电影是如何与他们产生千丝万缕的联系。那一刻，我突然明白了读书的意义，是让我们有能力去理解社会、也被社会理解，并且可以使用富有逻辑的文字排列表达出来，在语言的百转千回中获得合作机会、建立情感共鸣，继而启动正式工作。很喜欢现在的工作，期待自己更专业、更细致，能够不断收获新的学习机会,,,,,0,5,9,2023-03-01 23:40,iPhone,['https://wx2.sinaimg.cn/large/6c817e39ly1hbksbs00jij21hc0u0drc.jpg'],,
4874625081413805,Mvjl25VNj,7745775216,馨河漫步,2023年后中国经济发展靠什么？互联网时代，互联网公司破坏性创新后，没有发展出替代传统工商业模式的有效的新模式。这是这近30年的宏观现实。中国国企占据了中国经济的资源基础行业，军工业等。民企大多在产业下游消费品端。互联网用低质低价打垮了传统工业商业秩序，工业赚点加工费，商业赚点资本利息或跑路费。加上创新个知识产权没有普遍的法律保护个国家行政的强力保驾，加上建立在质量上的品牌被国家眼睁睁看着一群群击垮。中国基础消费品行业回到了作坊时代的赚劳力费时代。淘宝，京东罪无可赦哈，像腾讯游戏毁掉一代年轻人一样！可悲的是，上世纪倡导315打假，质量万里行……雄心万丈打造中国工商业品牌的时代，被毁掉了。新世纪升级经济结构，打造信息化的工业商业，我们需要反思。我们没有全球化时代的全规模出口市场了，廉价出口时代没有廉价劳动力和资源了，没有大量的品牌，靠什么出口？我们需要从理论上厘清国企民企的根本性，从行政政策法律全面一视同仁，地位同等；厘清山寨仿制冒牌极端商业化垄断等下作的民企商业作恶，从行政法律全面打击。全面保驾发展经济高质量打造中国品牌时代。我们的科技创新，产品创新和品牌时代才会降临，高收入门槛才能迈过。,,,,,1,1,1,2023-03-01 23:30,真我V15 国潮当道,,,
4874619780338580,Mvjcu1q4Y,2154847924,G黄智雄,【华为高管成功挑战大铁，拼搏路上“不折腾不人生”-北大国发院校友 全球铁三 2018-11-29】年轻时不能没有目标，年长时不能没有梦想在北大国发院的校友圈里，徐军这个名字的知名度远没有“老虎”高。干练有力、男人味十足的气场使大家每每都只记得他的微信名：老虎的旅途。不管戈壁挑战赛的队友，还是更多的北大国发院校友，大家都已经习惯于称他为“老虎”，他也欣然接受。采访的时候，他刚从东南亚回来。在北京短暂停留几天之后，他将前往印尼首都雅加达常驻。华为的亚太市场已经成为潜力仅次于中国区的第二大市场，而印尼是其中最大、最难做的市场。作为华为消费者业务大中华区副总裁，徐军又接过了亚太“拓荒者”的大旗。这是他人生的又一次转弯。一、警察好苗子精干帅气的徐军几乎天生就是个警察苗子，父母也有意往这个方向安排，让他上了警察学院。徐军对警察这个职业也很喜欢，但总是觉得哪个地方不够过瘾。具体是什么，他一直也说不上来，直到40岁那年才猛然明白。那一年，徐军刚刚离职摩托罗拉，在投入下一份工作之前，他想把人生的终极追求，尤其是自己心里到底对什么上瘾弄个明白，于是专门去了一趟西藏。在辽阔的高原上，面对近在咫尺的云海和无限苍茫的大地，他突然意识到：人终究都是从同一个地方来，到同一个地方去，唯一不同的就是沿途的风景。徐军说，自然的风景是天造地设的，人生的风景是折腾出来的。自己没有选择警察之路，可能只是骨子里不喜欢一眼能望到尽头的路。但折腾是有代价的。放弃了警察之路，父母有点失望。徐军就想，是爷们，自己选的路就自已扛，自己闯。因此，毕业后干脆自己找工作，活儿不怕苦，钱不怕少，职位不怕低，只要有折腾的机会。警校毕业的前几年，他做过酒店保安、前台等很多工作，但与别人不同的是，这只是他战略的一部分。几年间，徐军相继进修了第二专业会计学，并完成国际贸易的专升本，成为本科双学位的大学生。当然，代价是经常一天只能睡三个小时。二、外企独角兽自修本科课程之外，徐军还大量阅读商业书籍，包括雷军推荐的《硅谷之火》、李嘉诚的《富足》等。还有两本书他记忆很深，一本讲世界大亨的创业之路，一本讲日本推销之神原一平。徐军发现商业大亨最大的共通之处就是从销售干起。这让徐军给自己定了两个小目标：一是转行做销售，二是尽量找一家大公司练手。酒店工作期间，他接触到了后来的雇主强生，并争取到一个内部试训的机会。但这个机会并不容易。徐军至今还记得，因为没有销售资历的积累，对方的条件是：“你必须考第一我们才能要你”。上海六天的集训，徐军每天考试都必须保证前两名才能确保综合成绩第一。考试内容涵盖销售技巧、产品知识、生理学、工业制造等很多全新的领域，而他并不是学霸。徐军说，机会是拼出来的，能力是逼出来的。当你特别想得到一样东西的时候，你的潜能会激发出来。6天之后，他以综合成绩第一名顺利进入强生。此后几年都一如既往的拼，个人和团队业绩一马当先。徐军不愿意在强生进入舒适区，强生也一时腾不出更高的平台。血气方刚爱折腾的徐军决定转战民营企业试试。民企的条件够好，待遇和职位都很理想，但就是外企练出来的功夫在民企施展不开，憋得慌。徐军认真思考了一番，大道应该相通才是，外企的方法在民企用不了，可能不是两者大道不通，应该还是自己的修炼不够。想明白这一点，他迅速又转回外企，这一次是美国吉列，一干又是两年多。多年外企加快消品行业的磨练，使徐军不仅说一口流利的英语，还成为不折不扣的销售达人和团队领袖，很快被诺基亚相中。当时的诺基亚面临着竞争对手的打压，正举步维艰，不知何去何从。徐军团队的加入及拓展，用了5年造就了行业40%的份额，这一奇迹至今无人超越。徐军开玩笑：“我们这群人都干过外企，而且干过快消品，因此，到了诺基亚，几乎把手机也都卖成了白菜。”诺基亚的经历给徐军补上了外企的欧洲文化，使他的全球化视野得以扩展。同时，诺基亚也给整个中国的手机和通信行业历练了大量人才。当诺基亚风光不再，诺基亚人纷纷转战三星、苹果、摩托罗拉等各大手机和通讯公司，并成为中坚力量。徐军本人去了摩托罗拉，成为全国级别的总监。在外企他历经20年折腾到了中国区的顶点，成为销售和渠道领域当仁不让的独角兽级人才。徐军是心里始终装着学习的人，因为他明白，改变命运的不仅是拼搏，更是知识。2005年，他报考了北大国家发展研究院的EMBA。由于严重的腰间盘突出，在国发院两年的学业基本是在最后一排站着完成的，而他从未言苦，如期修完课程并完成毕业论文，是同届最早一批获得学位的学生。三、华为空降兵如前所述，离开摩托罗拉后，40岁的徐军去了一趟西藏，人生通透许多。西藏归来，职业的风景该如何取舍？当时摆在他面前的有三家公司的offer，分别是联想、华为、苹果。徐军回忆说，苹果还是外企的风景，变化不大。联想和华为风景会有所不同，但他最终选择了华为，原因是华为技术背景更强，多年的经验使他深知有技术支撑的企业更有可能走得远。同时，联想的渠道已经太强、太固化，留给他的空间也不大。徐军还特别提示说，当年并非今日，七八年前的华为市场远不如今天红火。当时摩托罗拉的同事还很诧异，毕竟2012年大家对华为的理解还停留在军事化管理或床垫式的加班文化。虽然外企历练已经20年，但刚去华为的徐军依然严重不适应。大道没那么容易相通。对华为核心价值观和开放，妥协，灰度的管理理念，他经历了从陌生、疑惑、学习，到理解、接受、认同的全过程。“华为的DNA非常强，很多东西不允许你去改变。”华为前两年的工作经历，徐军的总结是碰撞、痛苦。对于习惯有清晰的指标、R&R(角色与职责)、流程和制度的人来说，像是一拳打在棉花上。“那时我简直就是人民公敌，大家眼中的怪物”。各种冲突，各种会议上的争吵，各种误解接连不断。以至于在第一年，他感觉更多的是困惑、无奈、无助，甚至想过放弃。对职业经理人来说，拿着高薪却不能发挥出自己应发挥的价值，对公司来说是浪费资源，对个人就是浪费青春。但徐军毕竟是有国际视野和北大国发院高度的，他提出的公开渠道重组虽然在华为一时得不到响应和推行，但改变的种子已经生根。只是因为涉及利益格局的改变，阻力太大，水不到，渠难成。“所有人都会反对你，因为你去拿大渠道的新地盘，就动了他们的运营商老地盘。虽然你知道未来是什么样子，可是谁都不想被革命，哪怕他也明白你指的前途是光明的，这就是人性。”是走？还是再熬一熬？徐军一度犹豫，直到后来他又想明白一件事儿：硬闯不如迂回，迂回不如融入。自己何不先融进去？！而要融进去，就要先学会发现和欣赏。他开始认真地思考：华为的运营商业务为什么能做得不错，脱颖而出的基因是什么。“与其两年一事无成，愤然而去，不如踏踏实实琢磨琢磨这里究竟有什么基因值得融入自己的生命。就算最后还是选择走，我也得走个明白。”徐军选择就读了华为的内部高研班，九天全自费的内部课程让他深度学习了华为文化之一：妥协灰度。外企的管理很成熟，条条框框非常明晰，事情非对即错，但快速生长中的华为更多的是灰度文化，妥协的目的不是为了放弃，是为了更好的迂回前进。“开放·妥协·灰度”让华为有了更大的宽容，这种宽容不仅体现在对外的吸收学习，还体现在对内的包容和问题的有效解决。这种环境下，员工才敢于创新，组织才有了更强的内部纠错能力。“力出一孔，利出一孔”、“不让雷锋吃亏”、“以奋斗者为本”让华为大部分员工充分理解到，每个人只有全身心地投入，与企业共命运，自己才能有更好的发展。这是一家真正可以把职业当成事业的企业。随着对企业的了解不断深入，对其管理理念的践行，会议上不必要的争吵少了，部门间的误解消减了，替代的是更多的合作，协同，理解，支持。两年之后，时间和市场的力量也慢慢走向徐军的方向。2014年，由于手机市场从3G转4G，使得华为CBG（消费者业务）运营商业务开始明显下滑，敏感的公司高层很快把注意力转向公开市场。大家回头一看才发现徐军两年前力推的方向是有前瞻性的。徐军也因为看得准，资历深，提前有所布局而被委以重任，结果他也不负众望，成为同事们眼中的“华为公开市场第一人”。经过两年的训练和比赛，2018年7月，47岁的他完成了人生首个大铁，IRONMAN226公里（游泳3.8公里+自行车180公里+跑步42.2公里），用时14个半小时。对运动和健身的热爱也让徐军对人生有了更多的感悟。徐军说，健身的逻辑就是系统地撕裂或激发人身体的肌肉，然后让其不断生长。这个过程一定是非常痛苦的。人生的蜕变也一样，要在工作和生活中不断挑战自己，雕塑自己，虽痛苦但值得，才能欣赏到人生不同的风景。“年轻时不能没有目标，年长时不能没有梦想。”徐军认真地说。此刻的徐军应该已经在雅加达扎稳脚跟，采访时记者还问他有没有压力，他一笑置之。蜕变本身已经是他的人生追求。『华为高管成功挑战大铁，拼搏路上“不折腾不人生”』O华为高管成功挑战大铁，拼搏路上“不折腾不人生”,,,,,0,0,1,2023-03-01 23:09,华为Mate30E Pro 5G,"['https://wx1.sinaimg.cn/large/80705eb4gy1hbkrg161dmj20wo1uoasa.jpg', 'https://wx4.sinaimg.cn/large/80705eb4gy1hbkqk9xiq9j20wn1ljapc.jpg', 'https://wx1.sinaimg.cn/large/80705eb4gy1hbkrfkp3rej20wn1kw153.jpg', 'https://wx4.sinaimg.cn/large/80705eb4gy1hbkrfltw2jj20wn1jg7ic.jpg', 'https://wx4.sinaimg.cn/large/80705eb4gy1hbkrfmablgj20hq0qogne.jpg', 'https://wx1.sinaimg.cn/large/80705eb4gy1hbkrfmnh88j20ht0qomz9.jpg', 'https://wx4.sinaimg.cn/large/80705eb4gy1hbkrfn4vvlj20u0140q76.jpg', 'https://wx1.sinaimg.cn/large/80705eb4gy1hbkrfngy2dj20hq0qo76i.jpg', 'https://wx4.sinaimg.cn/large/80705eb4gy1hbkrfnt8jyj20m80chgm3.jpg']",,
4874617338464703,Mvj8xzw3t,1641532820,南都周刊,【全国政协委员林龙安：#建议将风险可控的民企列入信贷白名单#】2023年全国两会召开在即，全国政协委员、禹洲集团创始人林龙安在《关于做好支持中小民营企业平稳健康发展的提案》中建议，在实际风险可控的范围内将民营企业、地产开发企业列入白名单，以政策改善中小民营企业营商环境。林龙安一共提交三份提案，另两份提案分别是《关于加快建设人工智能先锋城市的提案》《关于进一步提升司法执行工作质效的提案》。（南都·湾财社）O全国政协委员林龙安：建议将风险可控的民企列入信贷白名单,,,,建议将风险可控的民企列入信贷白名单,0,1,3,2023-03-01 23:00,微博网页版,['https://wx3.sinaimg.cn/large/001N5HFOgy1hbkqb3b4w2j60xi11a79u02.jpg'],,
4874615518141083,Mvj5By9RN,1276216251,王赟,“国运兴衰看民企，只有民营经济雄起，只有中国出现了成百上千的任正非、王传福，以及新科技领域的领军者，美国人才不敢如此放肆。”#民企是树根不是草根##2022中国民企500强公布##民企#,,,,"民企是树根不是草根,2022中国民企500强公布,民企",1,1,3,2023-03-01 22:52,,,,
4874607486829459,MviSEsEEz,6417804883,独立屋,金融行业降薪是预期之内的事，无论国企民企还是外企。未来中国可能不会出现任何一个一听就感觉到有钱的行业，曾经的互联网、金融、房地产都是这样。,,,,,0,7,26,2023-03-01 22:20,微博网页版,,,
4874605406195690,MviPipZMu,3374011422,活力兴和,内蒙古百家民企纳税和就业实现“双增长”_央广网O内蒙古百家民企纳税和就业实现“双增长”,,,,,0,0,0,2023-03-01 22:12,CNTV,,,
4874605212730798,MviOZbsp8,3921809579,活力四子王旗,内蒙古百家民企纳税和就业实现“双增长”O内蒙古百家民企纳税和就业实现“双增长”,,,,,0,0,0,2023-03-01 22:11,微博网页版,,,
4874598255170716,MviDLlH8E,6666191545,北疆频道,【内蒙古民营经济发展潜力巨大“百家民企”实现量质齐升】3月1日，内蒙古百家民营企业发展报告新闻发布会召开，发布《2023内蒙古百家民营企业发展情况的报告》。2022年，内蒙古民营经济“第一方阵”实现营收总额和固定资产双双超万亿，各项指标均实现稳定增长。#内蒙古经济高质量发展#L北疆频道的微博视频,,,,内蒙古经济高质量发展,0,0,1,2023-03-01 21:44,微博视频号,,"http://f.video.weibocdn.com/o0/K5p95z8Blx083xdqiJYY01041200pgBm0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1692963706&ssig=mZmhqdf1Px&KID=unistore,video",
4874598191206333,MviDF53OZ,1421306692,帅新武,【华恒通.德福快报230227】25日上午，德福考察团抵达安福县，章副县长和发改、经信、招商、规资、生态、交通、电力、农业、林业、气象、人武、高新区、城控集团主要负责人与帅新武主席一行召开座谈会，就德福资本在安福县投资新能源、膜片工厂及公建投融资等做了交流。中午华桦县长设宴招待帅主席一行，进一步与德福考察团就投资合作做了沟通。下午考察团分两组对接相关部门和城控集团，深入交流合作可行性。深夜帅主席会见了江钨房产广岛建设刘总。当天，拥有装幕智机4一装幕消3甲的深圳中壹建设集团入华恒通建科联盟库资料通过评审，成为德福建筑民企合作体第617家和德福甲级设计合作体第188家成员；拥有装幕智机4一装幕智3甲的深圳远鹏装饰集团入华恒通建科联盟库资料通过评审，成为德福建筑民企合作体第618家和德福甲级设计合作体第189家成员。图为帅新武江苏一郎小组与安福发改、城控集团座谈图为帅文张光文小组与安福发改、商务、工信、资源等座谈26日上午，德福考察团在资源、招商、发改等负责人陪同下先后察看洲湖镇南汪新村4000亩油茶地、汶源村1000亩牧草地、金田乡高源村5000亩油茶地和东溪村800亩牧草地等磁悬浮垂直轴微风发电项目选址。中午瓜畲乡政府招待了帅新武主席一行。下午考察团与安福县有关部门负责人交流了玻璃膜片工厂项目并赴高新区察看了选址。图为帅新武一行考察安福县四个乡村磁悬浮垂直轴微风发电项目选址图为德福考察团察看膜片工厂选址27日上午，帅新武主席向安福县提交了本次考察三项投资意向，德福考察团回程。今日拥有综勘规咨4甲建钢2一的中船第九设计研究院工程有限公司入华恒通建科联盟库资料通过评审，成为德福央企合作体第272家和德福甲级设计合作体第190家成员。28日，帅主席会见了浙江建院建筑设计院迟院长，当天拥有建景2甲的浙江建院建筑规划设计院入华恒通建科联盟库资料通过评审，成为德福甲级设计合作体第191家成员。（华恒通.德福资本秘书处）制造业强国@临安新闻网-微临通@人民日报数字传播@临安发布#德福资本##青山湖##华恒通联盟##华恒通联盟##吉安#L帅新武的微博视频,,,"临安新闻网-微临通,人民日报数字传播,临安发布","德福资本,青山湖,华恒通联盟,吉安",0,0,2,2023-03-01 21:43,制造业强国超话,,"http://f.video.weibocdn.com/o0/pzOX53K9lx083xeah7LW010412008JCq0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1692963706&ssig=JpJoPYfdv6&KID=unistore,video",
