编号,id,微博正文,发布时间,情绪
1,4370509284025164,二本文科出来能去哪里？中小民企为主。据我观察，单价低于1.5万的地级市或少数大城市，例如长沙重庆西安郊区，大部分地级市，一般民企里的本科生，两口子有能力购房。超过2.5万，就非常难了。华东地区的大城市，靠在一般民企里的工资，买房是不太现实的。所以，安徽苏北小城市出来的青年人，不要太迷恋什么文凭不文凭的，除了985，其他不值得。一般家庭的父母的要看清市场经济规律，不要以为会刷题就是知识。如果孩子实在不是读武大华科的料，就不要逼儿子了，早点出来学技术。学技术也要看清楚门道，尽可能贴近服务业。水电，装修，排水，炒菜，修车，家教等，永远有前途，永远不失业。有上进心的，还有机会成为队长，年入几十万是完全可能的。不要鄙视体力劳动，不要再迷恋所谓的二本了，要时时刻刻看到消费者的需求。,2019-05-10 21:14:00,"(pragmatism,0.4),(caution,0.3),(opportunism,0.2),(ambition,0.1)"
2,4369455192628036,#东方快播#广西一法院执行局副局长叛逃国外曾串通欺诈一民企近10亿O广西一法院执行局副局长叛逃国外曾串通欺诈一民企近10亿,2019-05-07 23:26:00,"(anger,0.8),(sadness,0.2),(fear,0.1)"
3,4371271389381468,我围观了@孔庆东的回答，围观仅1元，快来一起围观~O微博问答,2019-05-12 23:42:00,"(joy,0.4),(curiosity,0.3),(excitement,0.2),(satisfaction,0.1)"
4,4443736513310734,今天看到人民网讲“高以翔事件”，又看到网上有人吐槽浙江卫视。真的，最近一年对浙江印象真的差爆了。所有经商的人都只是生意人的客套，没有真心。浙江民企的经商环境太好了，难怪阿里总部会在杭州，他们有的是商业奇才，有的是政策支持，有的的想尽一切办法实现“梦想”的机遇，于是他们那里的人想尽一切办法赚钱。逐渐逐渐……………人都钻进钱眼里，就差谋财害命了！,2019-11-28 22:53:00,"(anger,0.7),(disappointment,0.2),(frustration,0.1)"
5,4367264873028222,我免费围观了@孔庆东的回答，问题价值388.00元，快来一起围观~O微博问答,2019-05-01 22:22:00,"(interest,0.7),(excitement,0.2),(urgency,0.1)"
6,4369030741835423,#关注新疆域#【日本民企首次成功发射小型火箭】日本民营火箭开发初创企业星际科技公司5月4日成功发射小型火箭“百（MOMO）”3号机。该火箭全长10米，重约1吨，在试验中抵达高度达113千米的太空，并按计划落入太平洋海域。这是日本民企首次将独立研发的火箭成功发射至太空。,2019-05-06 19:19:00,"(joy,0.6),(pride,0.3),(achievement,0.1)"
7,4371611115798193,浙江民企形态嬗变：从“块状经济”到“塔式经济体”点击可查看更多O浙江民企形态嬗变：从“块状经济”到“塔式经济体”,2019-05-13 22:12:00,"(anger,0.4),(frustration,0.3),(confusion,0.2)"
8,4368327470110280,证券业支持民企系列资管计划出资规模达553亿元O网页链接,2019-05-04 20:44:00,"(serious,0.2),(informative,0.1),(neutral,0.1)"
9,4366852631295439,发布了头条文章：《民企参与“一带一路”建设迎来新机遇》O民企参与“一带一路”建设迎来新机遇,2019-04-30 19:04:00,"(joy,0.8)"
10,4367869754723299,【盘前必读】官媒：民企减税降费更大力度政策很快会出台一、要闻汇总1、财政部、工信部发布关于对小微企业融资担保业务实施降费奖补政策的通知财政部、工业和信息化部决定实施小微企业融资担保业务降费奖补政策，引导地方支持扩大实体经济领域小微企业融资担保业务规模，降低小微企业融资担保成...全文：O网页链接,2019-05-03 14:26:00,"(hope,0.4),(anticipation,0.3),(optimism,0.2),(trust,0.1)"
11,4368635046816608,【梁启东|东北民营经济五问之四：谁应当是东北科技创新的排头兵】科技创新是东北产业升级和全面振兴的大战略。那么谁是科技创新的排头兵？有人说是大型国有企业，因为国企实力雄厚，人才众多，技术研发基础好；有人说是民营企业，因为民企机制灵活，运行效率高。在这里，笔者不做定论，因为创新来说，对于国企、民企各有千秋，可能在不同地区有不同的情况。但是，有一点是明确的，而且被世界上发达经济体所印证的，那就是科技型中小微企业是区域经济最为活跃和最具经济发展潜力的群体，是科技创新的率先探索者和实践者。O【解读】梁启东|东北民营经济五问之四：谁应当是东北科技创新的排头兵,2019-05-05 17:07:00,"(excitement,0.45),(curiosity,0.35),(optimism,0.2)"
12,4369087041628766,今，立夏，万物繁盛始。跨界友朋相聚，无间气氛欢愉。言说驰骋，纵横自在，意兴腾腾时，思绪贯八荒。杯盏浅深且不论，神会之际，江湖花开，意象，繁盛。东道主，潮汕精英也。矢志于绿色影视传播，以民企力量和作品，跻身联合国气候大会讲坛；于东方深圳，措办关乎气候变化与人类生存主题的国际性会议，建树巨著。民间呼之为，“中国关注全球气候变化第一人”，饮誉甚隆。适有其故里发小，童年同窗，睽违四十余年之后，一朝相逢，喜不自胜。忆及少小趣事，感慨亦是“繁盛”；闻说而今事业作为，钦羡无已，引为潮汕一方的骄傲。举盏相祝，倾觴为敬，满座觥筹交错，好气氛，很繁盛！座中俱为佳朋，新识亦似有缘。恰有谦谦好礼俊男，与宋代诗家杨万里名讳相同，遂令人想起夏日咏荷之句：“接天莲叶无穷碧，映日荷花别样红”。吟哦未已，夜雨已至，浑若有觉，雨打莲蓬洗嫩荷的意象，令今宵燕集，平添了许多，清夏初至，淡雅而又繁盛的诗意……#泰哥的朋友圈#2019.5.6.初夏絮语,2019-05-06 23:03:00,"(joy,0.6),(gladness,0.3),(impressed,0.2),(pride,0.1)"
