id,微博正文,发布时间,情绪
3794353866831991,过去的一年，可以说是在平衡与反平衡中求生。新的一年，不陪玩了，活出自己。既不忘勤奋是自己的唯一资本，不作为不如死，也时刻警示自己，不变革就是死。,2015-01-01 23:58:00,"((struggle,0.4)),((determination,0.3)),((indifference,0.2)),((anxiety,0.1))"
3794353791671846,【过年你很hai吗】你在嗨的时候，在庆祝的同时、请你在新的一年，给自己设置一些狠的目标。人家开心庆祝，也是人家有些资本！你呢？傻嗨傻乐之后，得到什么？新年的意义是什么？就是在下一年有一个新面貌，新气象新起点。懂吗？如果下一年你还是原地踏步、那你有什么资格庆祝。a大家族招代理韩国代购,2015-01-01 23:58:00,"((excitement,0.4)),((ambition,0.3)),((indifference,0.2)),((curiosity,0.1))"
3799789625626271,【中国挖土机销售仍不强】中国12月建筑用挖土机销售同比降38%，2014全年降20%。投行W.Blair预测，今年中国挖土机市场将继续温和下滑，建筑业仍不景气，人们不止一次期望资本设备需求回升但总事与愿违。卡特彼勒在疲弱市场胜出，2014年挖土机销量增2%，12月销量降幅比行业水平低。O网页链接,2015-01-16 23:58:00,"((disappointment,0.4)),((concern,0.3)),((frustration,0.2)),((uncertainty,0.1))"
3799064501826916,【易经中的64个智慧46】第四十六感悟：积累资本寻找贵人-----机会青睐有准备的人机遇和贵人是在适当的时候出现的适当的人，事，物的组合体。我们无法控制这种完美的巧合何时出现，唯一能做的就是通过控制自己的人脉来给自己创造更多的可能。,2015-01-14 23:57:00,"((wisdom,0.4)),((preparation,0.3)),((opportunity,0.2)),((connection,0.1))"
3798340171440075,哎呦，饿了么又获得新融资了，腾讯领投的，还有红杉资本和戈壁资本跟投（这名字我真的很想笑）,2015-01-12 23:58:00,"((amusement,0.4)),((excitement,0.3)),((curiosity,0.2)),((surprise,0.1))"
3797615638063806,#国足再启航#【伊思蜗牛霜彻底丢掉】年轻有资本照镜子.可是镜子会复仇！天凉了，需要给肌肤用霜咯！强力推荐香港#致语堂悦颜青春面膜霜#具有神奇的修护效果！尤其对于淡化疤痕、暗疮印、斑点和缩小毛孔方面有非常神奇的功效！肌肤能明显变得柔嫩紧实，细纹减少.坚持使用30天你真的发现自己变得年轻紧致,2015-01-10 23:59:00,"((surprise,0.4)),((recommendation,0.3)),((excitement,0.2)),((satisfaction,0.1))"
3797615596684022,总是想要一个喧闹的世界可是又害怕少了孤独就没人爱我了；总是想要更多的自由可是还没有资本。总是在质问和被质问，我又没有错，我只是太得过且过了。有时候被问起太多我尽无言以对，我不想这样~,2015-01-10 23:59:00,"((confusion,0.4)),((fear,0.3)),((loneliness,0.2)),((frustration,0.1))"
3797615566754204,中学政治课本上也讲到美国资本家宁可把奶倒掉也不给穷人喝。【河南新乡：鲜牛奶滞销奶农用鲜牛奶浇地】O河南新乡：鲜牛奶滞销奶农用鲜牛奶浇地,2015-01-10 23:59:00,"((indignation,0.4)),((disappointment,0.3)),((sadness,0.2)),((disgust,0.1))"
3797614711953099,【盘点2014年最任性的企业家】如果说有钱就能任性，那么商界的大佬绝对有足够的资本。跨界、对赌对骂、抢头条……一起来看看2014年那些任性的企业家吧。详细请猛戳O网页链接,2015-01-10 23:56:00,"((admiration,0.4)),((amusement,0.3)),((curiosity,0.2)),((excitement,0.1))"
3797252181144376,#造梦者#年轻有资本照镜子，可是镜子会复仇！天凉了，需要给肌肤用霜咯！强力推荐香港#致语堂悦颜青春面膜霜#，又叫#好看霜#具有神奇的修护效果！尤其对于淡化疤痕、暗疮印、斑点和缩小毛孔方面有非常神奇的功效！肌肤能明显变得柔嫩紧实，细纹减少，较深的皱纹与粗大的毛孔也能轻易获得改善,2015-01-09 23:55:00,"((recommendation,0.4)),((excitement,0.3)),((curiosity,0.2)),((satisfaction,0.1))"
3797251945697499,【京东与腾讯入股易车网金额创同业新高】1月9日晚间消息，易车网、京东和腾讯今日联合宣布，三方已达成最终协议，京东和腾讯以现金和独家资源的形式对易车网投资约13亿美元。同时，易车旗下专注于汽车金融互联网平台的子公司易鑫资本将获得京东和腾讯总计2.5亿美元的现金投资。O京东联手腾讯入股易车网金额创同业新高,2015-01-09 23:54:00,"((excitement,0.4)),((surprise,0.3)),((investment,0.2)),((achievement,0.1))"
3796528416635415,#社联晚安#认识的人并不是越多越好，挤不进的圈子不要乱挤，更不要以认识谁见过谁而作为吹牛资本。沉住气，别老去巴结谁，别人的奇迹和你无关，实在得不到的不要去追，让自己生气的东西永远别搭理，多看书，多走路，上学上班路上都是旅行。晚安各位,2015-01-07 23:59:00,"((reflection,0.4)),((contentment,0.3)),((calmness,0.2)),((encouragement,0.1))"
3794352222081246,#奔跑吧2015#告别了2014，迎来2015，新的一年，你又想怎么度过？是否像2014一样整日茫茫然地两点一线，教学楼宿舍两边跑。是否有好好打算不让新的一年浪费呢？有着最宝贵资本——青春的我们，是否不该迷茫度日？而该好好计划计划人生了呢？2015，让我们一起奔跑加油吧！,2015-01-01 23:52:00,"((encouragement,0.4)),((anticipation,0.3)),((reflection,0.2)),((determination,0.1))"
3794351769909465,#更好2015#年轻就是资本，新的一年再年轻一点。,2015-01-01 23:50:00,"((encouragement,0.4)),((optimism,0.3)),((aspiration,0.2)),((youthfulness,0.1))"
3799788694383682,"#资本市场#【中信证券遭大股东减持3.48亿股套现逾110亿元】中信证券1月16日晚间公告，公司第一大股东中国中信有限公司1月13日至1月16日通过上海证券交易所集中竞价交易系统减持公司股份合计348,131,745股，占公司总股本的3.16%。据粗略计算，本次中信有限减持套现金额超过110亿元O中信证券遭大股东减持3.48亿股套现逾110亿元",2015-01-16 23:54:00,"((surprise,0.4)),((concern,0.3)),((financial,0.2)),((impact,0.1))"
3799788606293223,今天下午，【华南资本市场服务协会】第一次会员大会召开，选举了第一届领导班子，赵红梅担任会长，刘全中，谢晖，孙政权，蒋金志，熊涛，严怡翔担任副会长。华南资本协会，致力于为华南企业走向资本市场服务，律师界加油！,2015-01-16 23:54:00,"((excitement,0.4)),((leadership,0.3)),((support,0.2)),((achievement,0.1))"
3799063151411059,//@落雪视点:在资本主义国家，美女从不跟政治家们睡，床睡烂了，很难得到什么，还落得个丑闻满天飞。我们这边就不一样了，跟什么级别的人睡，就能谁出多大的官。只要上面的人不出事，她在下面尽情享受。@袁裕来律师,2015-01-14 23:51:00,"((controversy,0.4)),((criticism,0.3)),((disapproval,0.2)),((cynicism,0.1))"
3798338127972464,#公司公告#(601028)“#玉龙股份#”公布关于增加注册资本暨修订<公司章程>部分条款的公告（601028）“玉龙股份”公布关于增加注册资本暨修订<公司章程>部分条款的公告O网页链接,2015-01-12 23:50:00,"((information,0.4)),((announcement,0.3)),((business,0.2)),((regulation,0.1))"
3797251786974267,【北大副校长：混合所有制是为大型国企改革设计】10月28日，北大常务副校长刘伟27日表示，目前中国中小国有企业通过前几轮的改革已经退出国有资本行列，国企改革的重点应该是大型、特大型国有企业。不过有专家认为，混改存私有化等误区，还有业内人士认为，混改将造成国有资产的大量流失。,2015-01-09 23:53:00,"((reform,0.4)),((concern,0.3)),((publicsector,0.2)),((controversy,0.1))"
3797251450982795,【私募内参】证监会表态支持深港交易合作:证监会新闻发言人邓舸9日表示，深港交易所目前正就“深港通”试点开展研究，证监会支持深港交易所开展合作，在沪港通试点的基础上探索新的方式和内容，支持两地资本市场发展。,2015-01-09 23:52:00,"((support,0.4)),((cooperation,0.3)),((financialmarket,0.2)),((exploration,0.1))"
3794349060480057,【经济学家皮凯蒂拒绝国家最高荣誉】有个性！《21世纪资本论》作者皮凯蒂(T.Piketty)宣布，拒绝接受国家最高荣誉：荣誉军团勋章，以表达对社会党政府的不满。他指出：“我刚获悉自己被提名，我拒绝这一提名，因为我觉得政府没有资格来决定谁能享有荣誉。”O经济学家皮凯蒂拒绝国家最高荣誉,2015-01-01 23:39:00,"((dissent,0.4)),((disapproval,0.3)),((individuality,0.2)),((politicaldiscontent,0.1))"
3799788372247544,人生如书，读不尽。淡是本真；健康是资本；拼搏是动力；勤劳是钥匙；宽容是美德；豁达是心胸；沧桑是沉淀；善良是福报；懂得是缘分；心态最重要；若无闲事挂心头，便是人生好时节。燃一盏心灯，照亮生命的每一个角落，微笑，是最美的诗行。,2015-01-16 23:53:00,"((inspiration,0.4)),((contentment,0.3)),((positiveattitude,0.2)),((appreciation,0.1))"
3799787893177620,#资本市场#【证监会通报券商融资类现场检查情况业务对新时代证券采取警示】证监会发言人表示，证监会对45家证券公司的融资类业务现场检查结束，新时代证券存在违规为到期融资融券合约展期问题，对其采取警示的行政监管措触。O网页链接,2015-01-16 23:51:00,"((regulation,0.4)),((warning,0.3)),((financialmarket,0.2)),((violation,0.1))"
3799062568208918,【今天，建筑学的九种“类型”】资本建筑学，浪漫建筑学，理性建筑学，清风建筑学，古歌建筑学，书本建筑学，象形建筑学，拷贝建筑学，土豪建筑学。@新浪地产@設計物語LAI@ikuku建筑网@建筑学院-archcollege@建筑学1919@尹杨坚@林X怡@聞曉@每筑建文,2015-01-14 23:49:00,"((architecture,0.4)),((creativity,0.3)),((diversity,0.2)),((exploration,0.1))"
3799061956209736,年轻人别太要面子，因为你没有资历也没有资本，你的面子不值钱。现在太要面子，将来就没啥面子。现在没那么在乎面子，将来你就会很有面儿。谁都得从卑微开始，这就注定要承受别人的冷眼和忽视。别因为自己宝贵的面子而一生处于贫穷和卑微之中。告诉自己，现在暂时的低头不可耻，以后长久的抬头才可贵。,2015-01-14 23:46:00,"((discontent,0.5)),((disappointed,0.3)),((sad,0.1))"
3798336522331645,尽管现在的纽约，气温已降至零度以下，可还有很多的美国人，根本没有裤子穿。在美国，能穿上裤子早已经成为富人炫耀的资本，穿不起裤子的年轻劳动者，只能强颜欢笑，假装幸福，借此麻醉自己，却忘了自己的双腿，还一直在寒风中瑟瑟发抖。（转）,2015-01-12 23:44:00,"((inequality,0.4)),((discontent,0.3)),((struggle,0.2)),((socialissues,0.1))"
3799061410935601,"一个初入职场的新人，面对工作压力，只能咬牙挺住，逃避和退缩都不是明智之举。尤其在羽翼未丰之时,千万不要为了逞一时之快轻言放弃。对于新人而言，磨炼、积累、提升是当务之急，在做好本职工作、积累职场经验的同时，可以积极为职位提升和下一步工作积累资本。#互粉大厅#O网页链接",2015-01-14 23:44:00,"((workpressure,0.4)),((perseverance,0.3)),((growth,0.2)),((careerdevelopment,0.1))"
3798335313743372,李嘉诚违背了自己的承诺，变身国外企业，商人都是很会算计的，要说商人能讲诚信，真是扯淡。这几年骂他的不少，李嘉诚估计也很生气，也感觉到了政治风气越来越不利于他的产业，所以将公司注册到国外，会受到国际法律保护，自然安全得多。但是他这样做，反映了资本无国界，超级富豪是地球人的终极规律啊,2015-01-12 23:39:00,"((distrust,0.4)),((disappointment,0.3)),((cynicism,0.2)),((businessethics,0.1))"
3799060329213751,#漠尘商贸&思凝团队#微信营销，营的是自己销的是产品！一定要认识微商的真正含义！#微商可以赚钱#只是传说！微商和其他的各种形式资本市场一样，赚钱的永远是有勇有谋的人！#方法很重要#,2015-01-14 23:40:00,"((market,0.4)),((entrepreneurship,0.3)),((strategy,0.1))"
3799059930623347,没有一见钟情的资本，又缺少日久生情的条件。这句话真是绝了,2015-01-14 23:38:00,"((disillusionment,0.4)),((pessimism,0.3)),((irony,0.2)),((realism,0.1))"
3799059829664268,【麦当劳股价下跌艾克曼否认投资传言】麦当劳股价温和下跌，激进投资人艾克曼(B.Ackman)称，他的基金已持有汉堡王母公司的股份，不可能再投资存在竞争关系的麦当劳，其基金已投资了巴西收购公司3G资本。有消息称，3G可能收购金宝汤或百事可乐。详见O麦当劳股价下跌艾克曼否认投资传言,2015-01-14 23:38:00,"((stockmarket,0.4)),((investment,0.3)),((competition,0.2)),((acquisition,0.1))"
3799059384852926,#玄武晚安#认识的人并不是越多越好，挤不进的圈子不要乱挤，更不要以认识谁见过谁而作为吹牛资本。沉住气，别老去巴结谁，别人的奇迹和你无关，实在得不到的不要去追，让自己生气的东西永远别搭理，多看书，多走路，上学上班路上都是旅行。各位晚安！,2015-01-14 23:36:00,"((selectivity,0.4)),((introspection,0.3)),((peacefulness,0.1))"
